FECHA,18-29,30-39,40-50,<18,>50,NO REPORTADO,FEMENINO,MASCULINO,NO REPORTA,TOTAL
2010-01-01,559.0,314.0,210.0,78.0,125.0,0.0,88.0,1198.0,0.0,1286
2010-02-01,496.0,282.0,193.0,79.0,81.0,0.0,80.0,1051.0,0.0,1131
2010-03-01,486.0,285.0,194.0,71.0,101.0,2.0,86.0,1053.0,0.0,1139
2010-04-01,531.0,309.0,169.0,74.0,112.0,1.0,106.0,1090.0,0.0,1196
2010-05-01,553.0,375.0,211.0,77.0,98.0,5.0,103.0,1216.0,0.0,1319
2010-06-01,545.0,290.0,157.0,84.0,117.0,6.0,96.0,1103.0,0.0,1199
2010-07-01,579.0,335.0,184.0,100.0,97.0,4.0,95.0,1204.0,0.0,1299
2010-08-01,582.0,336.0,189.0,91.0,121.0,5.0,110.0,1214.0,0.0,1324
2010-09-01,539.0,316.0,163.0,75.0,116.0,6.0,95.0,1120.0,0.0,1215
2010-10-01,571.0,339.0,200.0,88.0,91.0,11.0,119.0,1181.0,0.0,1300
2010-11-01,594.0,328.0,184.0,92.0,118.0,11.0,99.0,1228.0,0.0,1327
2010-12-01,532.0,314.0,174.0,82.0,104.0,9.0,102.0,1113.0,0.0,1215
2011-01-01,582.0,351.0,170.0,101.0,105.0,3.0,111.0,1201.0,0.0,1312
2011-02-01,511.0,298.0,147.0,96.0,113.0,4.0,99.0,1070.0,0.0,1169
2011-03-01,570.0,345.0,225.0,84.0,100.0,11.0,112.0,1221.0,2.0,1335
2011-04-01,580.0,314.0,200.0,79.0,113.0,5.0,109.0,1182.0,0.0,1291
2011-05-01,652.0,356.0,199.0,121.0,144.0,6.0,141.0,1337.0,0.0,1478
2011-06-01,553.0,337.0,199.0,83.0,120.0,10.0,113.0,1189.0,0.0,1302
2011-07-01,559.0,299.0,186.0,107.0,104.0,4.0,108.0,1151.0,0.0,1259
2011-08-01,623.0,362.0,174.0,86.0,108.0,6.0,102.0,1257.0,0.0,1359
2011-09-01,572.0,339.0,205.0,79.0,112.0,1.0,120.0,1188.0,0.0,1308
2011-10-01,479.0,323.0,179.0,83.0,108.0,2.0,95.0,1079.0,0.0,1174
2011-11-01,560.0,338.0,221.0,93.0,106.0,3.0,83.0,1238.0,0.0,1321
2011-12-01,613.0,352.0,201.0,105.0,147.0,10.0,126.0,1302.0,0.0,1428
2012-01-01,515.0,312.0,184.0,97.0,114.0,0.0,112.0,1110.0,0.0,1222
2012-02-01,480.0,296.0,156.0,81.0,96.0,5.0,93.0,1020.0,1.0,1114
2012-03-01,539.0,342.0,156.0,91.0,135.0,8.0,104.0,1166.0,1.0,1271
2012-04-01,505.0,285.0,157.0,83.0,123.0,3.0,85.0,1071.0,0.0,1156
2012-05-01,602.0,332.0,209.0,92.0,125.0,8.0,134.0,1233.0,1.0,1368
2012-06-01,580.0,363.0,172.0,92.0,109.0,7.0,112.0,1211.0,0.0,1323
2012-07-01,631.0,363.0,212.0,102.0,128.0,12.0,109.0,1338.0,1.0,1448
2012-08-01,590.0,333.0,196.0,99.0,125.0,10.0,111.0,1242.0,0.0,1353
2012-09-01,617.0,305.0,221.0,104.0,125.0,12.0,120.0,1264.0,0.0,1384
2012-10-01,602.0,346.0,210.0,98.0,120.0,18.0,109.0,1284.0,1.0,1394
2012-11-01,603.0,327.0,219.0,101.0,120.0,15.0,114.0,1271.0,0.0,1385
